REGIONAL,DEPARTAMENTO,TECNOL,GERENCIA,CANAL_HOMOLOGADO_MILLICON,tipo_fuerza_venta,estrato,antiguedad_meses,productos,portafolio,no_serv_tecnicos,fallo,asesoria_factura,pedidos_peticiones,reagendamiento,asesoria_servicios,retencion,Otras,quejas_fraude,traslado,Incumplimiento_pago,cliente_id
CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1012393236
CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1012393236
CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,1,6,TV,Individual,1,No navega,0,0,0,0,0,0,0,0,0,1012395474
CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,59,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1012411411
CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,59,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1012411411
CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,59,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1012411411
CENTRO,CUNDINAMARCA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,2,4,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1012421439
CENTRO,CUNDINAMARCA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,2,4,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1012421439
CENTRO,CUNDINAMARCA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,2,4,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1012421439
CENTRO,CUNDINAMARCA,HFC,CONTACT,DIGITALES,INDIRECTA,3,19,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1012422178
CENTRO,CUNDINAMARCA,HFC,CONTACT,DIGITALES,INDIRECTA,3,19,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1012422178
CENTRO,CUNDINAMARCA,HFC,CONTACT,DIGITALES,INDIRECTA,3,19,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1012422178
CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,4,TO+BA,Duo,1,No navega,0,0,0,0,0,0,0,0,1,1012424514
CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,4,TO+BA,Duo,1,No navega,0,0,0,0,0,0,0,0,1,1012424514
CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,0,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1012430530
CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,0,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1012430530
CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1012441991
CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1012441991
CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1012441991
CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,0,TO+BA,Duo,1,Servicio intermitente,0,0,0,0,0,0,0,0,0,1012443495
CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,0,TO+BA,Duo,1,Servicio intermitente,0,0,0,0,0,0,0,0,0,1012443495
CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,21,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1012446111
CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,21,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1012446111
CENTRO,CUNDINAMARCA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,5,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1012450904
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,5,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1017173647
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,5,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1017173647
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,5,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1017173647
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,194,TV+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1017174068
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,194,TV+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1017174068
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,202,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1017174170
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,5,32,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,1,0,1017174650
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,0,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1017174827
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,2,85,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1017175010
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,2,85,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1017175010
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,2,85,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1017175010
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,SE,0,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1017175959
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,155,TO+TV+BA,Trio,1,No navega,0,0,0,0,0,0,0,0,0,1017176149
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,155,TO+TV+BA,Trio,1,No navega,0,0,0,0,0,0,0,0,0,1017176149
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,155,TO+TV+BA,Trio,1,No navega,0,0,0,0,0,0,0,0,0,1017176149
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,2,28,TV+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1017177070
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,2,28,TV+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1017177070
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,172,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1017178567
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,21,TO+BA,Duo,1,No navega,1,0,0,0,0,0,0,0,0,1017179169
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,21,TO+BA,Duo,1,No navega,1,0,0,0,0,0,0,0,0,1017179169
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,202,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1017179556
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,5,42,TO,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1017180041
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,28,TV+BA,Duo,1,No funciona línea telefónica,1,0,0,0,0,0,0,0,0,1017181606
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,28,TV+BA,Duo,1,No funciona línea telefónica,1,0,0,0,0,0,0,0,0,1017181606
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,7,BA,Individual,1,Servicio intermitente,0,0,0,0,0,0,0,0,0,1017182342
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,156,BA,Individual,1,No navega,1,0,0,0,0,0,0,0,0,1017183210
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,1,131,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1017183418
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,4,3,TO+TV+BA,Trio,1,Sin señal,1,0,0,0,0,0,0,0,0,1017187419
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,4,3,TO+TV+BA,Trio,1,Sin señal,1,0,0,0,0,0,0,0,0,1017187419
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,4,3,TO+TV+BA,Trio,1,Sin señal,1,0,0,0,0,0,0,0,0,1017187419
NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,202,TV,Individual,NULL,NULL,1,1,0,0,0,0,0,0,0,1017188310
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,70,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1017188943
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,70,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1017188943
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,3,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1017189640
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,180,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1017190890
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,48,BA,Individual,1,No navega,0,0,0,0,0,0,0,0,0,1017191407
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,65,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1017193427
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,6,4,TO+TV+BA,Trio,1,Sin señal,0,0,0,0,0,0,0,0,1,1017193738
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,6,4,TO+TV+BA,Trio,1,Sin señal,0,0,0,0,0,0,0,0,1,1017193738
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,6,4,TO+TV+BA,Trio,1,Sin señal,0,0,0,0,0,0,0,0,1,1017193738
NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,DEALERS,DIRECTA,2,202,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1017194490
NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,DEALERS,DIRECTA,2,202,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1017194490
NOROCCIDENTE,ANTIOQUIA,HFC,OTROS,OTROS,INDIRECTA,6,2,TV,Individual,1,Sin señal,0,0,0,0,0,0,0,0,0,1017195245
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,40,TO+TV+BA,Trio,1,No navega,0,0,0,0,0,0,0,0,0,1017195631
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,40,TO+TV+BA,Trio,1,No navega,0,0,0,0,0,0,0,0,0,1017195631
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,40,TO+TV+BA,Trio,1,No navega,0,0,0,0,0,0,0,0,0,1017195631
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,4,1,TO+TV+BA,Trio,1,No funciona línea telefónica,0,0,0,0,0,0,0,0,1,1017195802
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,4,1,TO+TV+BA,Trio,1,No funciona línea telefónica,0,0,0,0,0,0,0,0,1,1017195802
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,4,1,TO+TV+BA,Trio,1,No funciona línea telefónica,0,0,0,0,0,0,0,0,1,1017195802
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,3,1,TO+TV+BA,Trio,1,No navega,0,0,0,0,0,0,0,0,1,1017195803
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,3,1,TO+TV+BA,Trio,1,No navega,0,0,0,0,0,0,0,0,1,1017195803
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,3,1,TO+TV+BA,Trio,1,No navega,0,0,0,0,0,0,0,0,1,1017195803
NOROCCIDENTE,ANTIOQUIA,GPON,FVD,DEALERS,DIRECTA,3,4,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,1,0,0,1017195804
NOROCCIDENTE,ANTIOQUIA,GPON,FVD,DEALERS,DIRECTA,3,4,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,1,0,0,1017195804
NOROCCIDENTE,ANTIOQUIA,GPON,FVD,DEALERS,DIRECTA,3,4,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,1,0,0,1017195804
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,7,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1017197277
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,7,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1017197277
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,7,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1017197277
NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,13,TV+BA,Duo,NULL,NULL,0,0,0,1,0,0,0,0,0,1017197816
NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,13,TV+BA,Duo,NULL,NULL,0,0,0,1,0,0,0,0,0,1017197816
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,2,43,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1020402914
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,202,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020403661
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,60,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1020405267
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,60,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1020405267
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,0,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020405726
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,OUT BOUND,INDIRECTA,1,137,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020406242
NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,19,BA,Individual,1,No navega,0,0,0,0,0,0,0,0,0,1020406612
NOROCCIDENTE,ANTIOQUIA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,4,0,TO,Individual,1,No navega,0,0,0,0,0,0,0,0,0,1020408715
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,DIGITALES,INDIRECTA,3,194,TV+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1020409590
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,DIGITALES,INDIRECTA,3,194,TV+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1020409590
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,202,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020410828
NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,14,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020412462
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,2,33,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020412820
NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,FVD,INDIRECTA,SE,0,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020412829
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,31,TO,Individual,NULL,NULL,0,0,0,0,0,0,0,1,0,1020413282
NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,184,TV,Individual,1,Problemas Control Remoto,0,0,0,0,0,0,0,1,0,1020413947
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,14,TV+BA,Duo,1,Mala calidad en la imagen,0,0,0,0,0,0,0,1,0,1020415248
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,14,TV+BA,Duo,1,Mala calidad en la imagen,0,0,0,0,0,0,0,1,0,1020415248
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,1,8,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,1,0,1020416469
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,1,8,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,1,0,1020416469
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,1,8,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,1,0,1020416469
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,13,BA,Individual,1,No navega,0,0,0,0,0,0,0,0,0,1020416618
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,2,3,TO,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020417381
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,3,66,TV+BA,Duo,1,Servicio intermitente,0,1,1,1,1,1,0,1,0,1020419036
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,3,66,TV+BA,Duo,1,Servicio intermitente,0,1,1,1,1,1,0,1,0,1020419036
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,0,TO,Individual,1,No funciona línea telefónica,0,0,0,0,0,0,0,0,0,1020419809
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,6,TV+BA,Duo,1,No navega,0,0,0,0,0,0,0,0,0,1020420228
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,6,TV+BA,Duo,1,No navega,0,0,0,0,0,0,0,0,0,1020420228
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,171,TV+BA,Duo,1,No funciona línea telefónica,0,0,1,0,1,0,0,1,0,1020421967
NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,171,TV+BA,Duo,1,No funciona línea telefónica,0,0,1,0,1,0,0,1,0,1020421967
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,3,10,TO+TV,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1020422223
NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,3,10,TO+TV,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1020422223
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,24,BA,Individual,NULL,NULL,1,0,0,1,0,0,0,0,0,1020423145
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,18,TV+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1020423810
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,18,TV+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1020423810
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,152,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020423882
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,17,TV+BA,Duo,1,Sin señal,0,0,0,0,0,0,0,0,0,1020423974
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,17,TV+BA,Duo,1,Sin señal,0,0,0,0,0,0,0,0,0,1020423974
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,46,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020425203
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,18,TV,Individual,1,Navegacion Lenta,0,0,0,0,0,0,0,0,0,1020427649
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,202,TV,Individual,1,Navegacion Lenta,0,0,0,0,0,0,0,1,0,1020429863
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,33,TO,Individual,NULL,NULL,1,0,0,0,0,0,0,0,0,1020431743
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,127,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020433293
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,12,TO,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020437362
NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,171,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1020438530
